Trial_ID,Cohesion,Friction,Rainfall,FoS
0,35.3642,19.9116,0.3,0.506798
1,31.6259,17.8309,0.3,0.450075
2,31.5184,18.6436,0.3,0.471839
3,34.8468,17.6482,0.3,0.445668
4,28.9759,18.3175,0.3,0.462712
5,29.1916,16.611,0.3,0.4174
6,34.474,19.4229,0.3,0.493346
7,32.4498,19.7714,0.3,0.502547
8,29.4941,17.461,0.3,0.439921
9,31.2175,19.5899,0.3,0.497423
10,29.7225,17.431,0.3,0.439158
11,32.649,19.7059,0.3,0.500789
12,30.4839,18.8488,0.3,0.477224
13,32.2469,17.2103,0.3,0.433664
14,33.4386,17.2317,0.3,0.434403
15,29.4463,19.4676,0.3,0.493839
16,29.5423,19.3908,0.3,0.491765
17,33.0213,18.1211,0.3,0.458029
18,32.5484,18.7026,0.3,0.473576
19,30.1715,17.7041,0.3,0.446484
20,32.755,19.8351,0.3,0.504332
21,33.513,19.6249,0.3,0.498706
22,33.8965,17.0989,0.3,0.430952
23,34.0701,19.3299,0.3,0.490762
24,31.8683,16.5513,0.3,0.416213
25,34.6416,19.2409,0.3,0.488429
26,31.5847,17.2734,0.3,0.435242
27,30.6995,19.793,0.3,0.502887
28,34.3303,20.0711,0.3,0.511014
29,34.6902,18.1672,0.3,0.459501
30,29.3639,17.9223,0.3,0.452191
31,33.7629,17.7719,0.3,0.448808
32,34.1747,18.0899,0.3,0.45736
33,32.5809,17.6777,0.3,0.446128
34,33.5961,19.8638,0.3,0.505236
35,35.3123,18.5256,0.3,0.469209
36,33.1589,16.7991,0.3,0.422926
37,31.1626,16.7384,0.3,0.421038
38,33.2343,16.9568,0.3,0.4271
39,29.8145,16.58,0.3,0.416671
40,29.767,16.9952,0.3,0.427617
41,32.3846,16.9137,0.3,0.425838
42,35.2495,16.6595,0.3,0.419546
43,29.1225,18.0026,0.3,0.454301
44,32.7923,18.1392,0.3,0.458479
45,33.2995,18.24,0.3,0.461254
46,31.2859,18.3034,0.3,0.462662
47,34.3963,18.4296,0.3,0.466498
48,29.0811,18.9874,0.3,0.480767
49,32.3147,17.7502,0.3,0.448021
50,33.9901,17.8824,0.3,0.451788
51,30.3445,18.8997,0.3,0.478578
52,30.7494,19.1904,0.3,0.4865
53,34.9251,16.6682,0.3,0.419728
54,35.019,19.2925,0.3,0.489882
55,31.6983,16.8309,0.3,0.423553
56,34.6257,16.7088,0.3,0.420754
57,32.9802,18.5752,0.3,0.470209
58,30.813,16.8767,0.3,0.424638
59,29.6346,17.1736,0.3,0.432318
60,34.206,18.8004,0.3,0.476451
61,34.2464,17.4836,0.3,0.441203
62,33.6671,20.112,0.3,0.51204
63,31.9497,18.3541,0.3,0.464119
64,34.514,18.9511,0.3,0.480565
65,30.1904,19.3679,0.3,0.491237
66,30.8974,18.0396,0.3,0.455544
67,30.0339,20.0073,0.3,0.508651
68,30.6347,19.7345,0.3,0.501282
69,30.0583,19.2097,0.3,0.486925
70,32.2054,18.4135,0.3,0.46575
71,30.3984,20.0785,0.3,0.510654
72,31.4657,17.3203,0.3,0.436469
73,29.3143,19.5535,0.3,0.496158
74,32.8236,19.9444,0.3,0.50733
75,31.1179,18.5442,0.3,0.469107
76,31.0318,17.5581,0.3,0.442724
77,33.3498,17.6089,0.3,0.444406
78,29.912,17.5243,0.3,0.441664
79,30.5649,19.045,0.3,0.482536
80,32.1266,18.2126,0.3,0.460349
81,31.9964,18.6518,0.3,0.472129
82,31.7649,16.9295,0.3,0.426167
83,29.975,18.9009,0.3,0.478556
84,33.8222,17.3624,0.3,0.437924
85,30.2815,18.7497,0.3,0.474521
86,32.0672,19.0496,0.3,0.482877
87,34.7601,20.1695,0.3,0.513775
88,29.2579,18.4786,0.3,0.467078
89,31.0132,18.7792,0.3,0.475422
90,31.8522,19.1096,0.3,0.484471
91,33.9228,17.05,0.3,0.429663
92,32.9143,19.4902,0.3,0.494951
93,30.8772,17.8368,0.3,0.450124
94,33.5663,17.9502,0.3,0.453538
95,35.1084,19.6371,0.3,0.499267
96,34.9876,19.9825,0.3,0.508683
97,33.1053,17.1327,0.3,0.431734
98,31.3963,19.146,0.3,0.48539
99,35.1476,17.357,0.3,0.437972
